代码,简称,2005/1/31,2005/2/28,2005/3/31,2005/4/29,2005/5/31,2005/6/30,2005/7/29,2005/8/31,2005/9/30,2005/10/31,2005/11/30,2005/12/30,2006/1/31,2006/2/28,2006/3/31,2006/4/28,2006/5/31,2006/6/30,2006/7/31,2006/8/31,2006/9/29,2006/10/31,2006/11/30,2006/12/29,2007/1/31,2007/2/28,2007/3/30,2007/4/30,2007/5/31,2007/6/29,2007/7/31,2007/8/31,2007/9/28,2007/10/31,2007/11/30,2007/12/31,2008/1/31,2008/2/29,2008/3/31,2008/4/30,2008/5/30,2008/6/30,2008/7/31,2008/8/29,2008/9/30,2008/10/31,2008/11/28,2008/12/31,2009/1/30,2009/2/27,2009/3/31,2009/4/30,2009/5/29,2009/6/30,2009/7/31,2009/8/31,2009/9/30,2009/10/30,2009/11/30,2009/12/31,2010/1/29,2010/2/26,2010/3/31,2010/4/30,2010/5/28,2010/6/30,2010/7/30,2010/8/31,2010/9/30,2010/10/29,2010/11/30,2010/12/31,2011/1/31,2011/2/28,2011/3/31,2011/4/29,2011/5/31,2011/6/30,2011/7/29,2011/8/31,2011/9/30,2011/10/31,2011/11/30,2011/12/30,2012/1/31,2012/2/29,2012/3/30,2012/4/30,2012/5/31,2012/6/29,2012/7/31,2012/8/31,2012/9/28,2012/10/31,2012/11/30,2012/12/31,2013/1/31,2013/2/28,2013/3/28,2013/4/30,2013/5/31,2013/6/28,2013/7/31,2013/8/30,2013/9/30,2013/10/31,2013/11/29,2013/12/31,2014/1/31,2014/2/28,2014/3/31,2014/4/30,2014/5/30,2014/6/30,2014/7/31,2014/8/29,2014/9/30,2014/10/31,2014/11/28,2014/12/31,2015/1/30,2015/2/27,2015/3/31,2015/4/30,2015/5/29,2015/6/30,2015/7/31,2015/8/31,2015/9/30,2015/10/30,2015/11/30,2015/12/31,2016/1/29,2016/2/29,2016/3/31,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/31,2017/2/28,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/29,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/28,2018/3/29,2018/4/30,2018/5/31,2018/6/29,2018/7/31,2018/8/31,2018/9/28,2018/10/31
A.N,安捷伦科技(AGILENT),22.11,24,22.2,20.75,24.01,23.02,26.24,32.16,32.75,32.01,35.66,33.29,33.91,36,37.55,38.42,34.89,31.56,28.44,32.16,32.69,35.6,31.84,34.85,32,31.75,33.69,34.37,38.17,38.44,38.15,36.4,36.88,36.85,37.83,36.74,33.86,30.61,29.83,30.21,37.39,35.54,36.06,34.76,29.66,22.19,18.83,15.63,18.08,13.87,15.37,18.26,18.23,20.31,23.22,25.68,27.83,24.74,28.92,31.07,28.03,31.46,34.39,36.26,32.36,28.43,27.93,26.97,33.37,34.8,35.02,41.43,41.83,42.08,44.78,49.91,49.87,51.11,42.16,36.87,31.25,37.07,37.5,34.93,42.47,43.62,44.6103,42.2751,40.7516,39.433,38.4783,37.3428,38.7395,36.261,38.5783,41.3494,45.2278,41.8948,42.5109,41.9741,46.0358,43.4321,45.433,47.373,52.1757,51.6768,54.5376,58.357,59.3366,58.0917,57.0611,55.2762,58.2426,58.8885,57.5044,58.6014,58.5527,56.8058,61.4187,58.832,54.4095,60.8056,60.0022,59.7423,59.4824,55.8527,59.2838,52.5664,49.8442,54.8243,60.719,60.8705,54.814,54.3773,58.017,59.7472,67.0039,64.9406,70.4304,68.7761,69.1084,63.9425,64.5443,67.0566,72.0756,75.5049,78.0088,81.2254,89.0307,87.7058,88.4157,95.706,94.937,100.808,102.601,99.457,109.0507,101.8629,99.3531,97.8483,92.1625,92.0435,98.5322,100.7702,105.2462,96.8718
AAP.N,领先汽车配件,43.1,50.38,50.45,53.35,59.27,64.55,68.96,60.93,38.68,37.5,42.34,43.46,43.57,41.35,41.7007,40.2786,38.1756,28.9892,30.3634,30.2129,33.1028,35.193,35.7759,35.7959,38.2018,37.8998,38.8658,41.5376,41.7594,40.9217,35.106,35.9037,33.9425,34.5089,36.3699,38.4839,36.2452,33.9761,34.5565,35.1959,40.8995,39.465,41.762,43.7439,40.3694,31.7581,30.903,34.3179,33.3796,39.0092,41.9596,44.6868,43.502,42.4392,47.2877,43.2678,40.2385,38.1693,40.259,41.5277,40.4711,41.856,43.0638,46.3306,53.1723,51.6107,55.0562,56.023,60.4151,66.9014,67.9413,68.1666,65.8893,64.5909,67.683,67.5179,64.0523,60.3903,56.756,62.6928,60.0461,67.2495,71.5385,72.0249,79.276,88.3063,91.6783,95.0216,75.4998,70.6757,72.6752,73.6801,70.9665,73.5588,75.8504,75.0827,76.2969,79.2234,85.836,87.1134,84.6624,84.3594,85.7313,83.2162,85.9933,103.1545,105.0579,115.1791,119.477,132.5372,131.705,126.2806,129.2791,140.539,126.1539,142.1015,135.7868,153.1483,153.2734,166.0496,165.7577,161.5147,156.1144,149.1373,159.7959,166.1892,181.7554,182.8404,197.806,207.0946,169.8358,157.1452,158.7531,154.984,167.4719,163.0433,160.6828,168.8857,177.4852,164.4449,155.8783,146.4286,177.4119,176.8451,171.7422,163.7636,155.0937,148.6917,139.7894,122.0232,117.2298,102.4622,103.8886,85.6034,105.7737,104.4653,122.5941,119.7228,124.2935,119.9949,134.8514,142.3357,148.1361,172.0511,176.6238,167.6315
AAPL.O,苹果公司(APPLE),336.9521,393.1254,365.1702,316.0076,348.4234,322.5802,373.7583,410.9151,469.805,504.6833,594.3327,629.9997,661.7231,600.2042,549.6394,616.8546,523.7875,501.879,595.5596,594.5956,674.6053,710.5352,803.2518,743.4855,751.2849,741.4699,814.206,874.5857,1062.0433,1069.4834,1154.6635,1213.5534,1344.9165,1664.6048,1596.8638,1735.8511,1186.2116,1095.5983,1257.5456,1524.3906,1654.0887,1467.341,1392.9399,1485.6565,996.0462,942.8525,812.1028,747.9548,789.8438,782.6578,921.2069,1102.6966,1190.1552,1248.1688,1431.8493,1474.0888,1624.2932,1651.8979,1751.8881,1846.7254,1683.1218,1793.1636,2059.3952,2288.0319,2251.138,2204.2539,2254.3805,2130.3786,2486.6102,2637.6033,2726.7269,2826.7171,2973.5914,3095.3148,3054.1006,3068.3236,3048.1678,2941.6051,3421.9261,3372.413,3341.6535,3547.2425,3349.3653,3549.1705,4000.3095,4753.6099,5254.0868,5117.6409,5062.8698,5117.8162,5352.3243,5854.784,5871.1979,5239.4174,5174.573,4705.0429,4027.0747,3925.2463,3936.4511,3937.5182,4025.8393,3549.5704,4050.859,4390.1504,4295.8445,4709.9036,5039.8261,5084.6894,4537.0852,4798.0169,4893.7512,5380.1722,5803.6418,5964.1808,6135.5395,6611.0975,6498.2251,6965.8393,7704.0702,7150.2167,7589.4128,8354.2476,8092.1612,8138.9856,8507.9991,8190.9409,7921.5558,7397.1797,7235.801,7839.3311,7793.8293,6934.7293,6412.9446,6404.6871,7219.4317,6209.2809,6654.9393,6371.0414,6944.835,7109.0934,7574.7692,7607.601,7443.2697,7800.2126,8172.6455,9265.9638,9717.1207,9716.4443,10375.2923,9781.681,10101.5791,11182.4409,10508.7671,11526.0965,11759.8214,11580.5329,11457.3576,12238.5788,11528.1201,11354.9716,12889.3009,12767.9055,13125.1944,15755.7726,15624.9532,15148.7431
ABC.N,美源伯根,345.6913,355.4444,339.9567,363.6332,383.3006,410.4884,426.1599,443.4087,459.0263,452.9099,477.4403,491.9982,518.6184,546.8597,573.9708,513.0897,518.6175,498.7485,511.5979,525.6997,538.0803,561.8892,548.0683,535.7936,624.2186,627.4124,629.2016,596.2804,611.5509,590.6564,562.4787,571.9549,541.8331,563.1096,543.2353,537.2486,557.7232,500.3688,491.4936,486.3364,496.5958,480.4952,503.0841,493.625,453.1817,376.3876,378.6292,430.6832,438.6544,384.6102,395.5091,407.3768,450.5394,430.8662,478.9562,519.069,545.132,539.5297,603.3716,637.0959,666.177,687.2629,708.8318,756.1363,768.6327,780.1818,736.4425,672.1855,755.4695,808.9388,762.6297,843.466,886.4798,939.7245,980.6252,1007.3966,1024.5905,1029.0647,952.2577,986.7587,929.1687,1017.1742,929.3497,930.3503,974.879,938.101,995.587,934.0845,931.8627,991.3165,1000.1338,973.7755,978.5786,997.0328,1072.9139,1097.3099,1152.9632,1204.8559,1313.344,1381.5,1384.5095,1429.3115,1491.7783,1462.5093,1569.9108,1678.5969,1818.4456,1812.7734,1733.1052,1755.4382,1696.9667,1686.3591,1899.9722,1886.4714,1996.8141,2015.4971,2013.1532,2224.365,2379.0268,2355.7722,2483.542,2692.904,2978.8088,2995.3185,2957.2235,2793.809,2778.3083,2635.6154,2502.57,2542.6153,2607.7568,2741.793,2367.7078,2298.9167,2297.0589,2258.5755,1999.0323,2114.7405,2271.2398,2327.5941,2161.93,1881.9871,2096.9663,2102.3438,2346.7524,2470.3762,2389.1192,2214.9969,2487.9201,2562.7448,2543.4964,2185.5763,2253.6628,2095.7022,2321.0208,2512.5693,2727.3773,2614.1433,2368.2776,2488.326,2266.3615,2352.7228,2257.8082,2493.3156,2555.6692,2438.7215
ABMD.O,阿比奥梅德,23.76,21.4,21.16,20.3,18.74,17.1,19.5,20.04,20.14,17.26,17.48,18.48,21.9,20.8,25.8,25.86,26.8,25.94,27.32,29.84,29.56,28.4,25.22,28.2,29.42,27.96,27.32,25.64,22.32,21.56,20.68,24.62,24.86,27.34,25.7,31.08,30.2,28.6,26.28,29.18,29.56,35.5,35.46,36.04,35.5,29.16,28.08,32.84,26.98,13.62,9.8,13.34,11.88,17.64,15,16.56,19.42,18.1,16.92,17.46,15.84,20.22,20.64,19.28,19.5,19.36,22.18,18.065,21.22,20.62,22.96,19.22,19.6,24.94,29.06,34.76,37.56,32.4,33.02,24.88,22.06,30.12,40.28,36.94,37,41.76,44.38,48.66,40.66,45.64,45.1,44.66,41.98,39.64,26.7,26.88,27.9,32.08,37.34,36.94,43.14,43.12,50.16,47.1,38.12,48.02,57.18,53.48,54.98,56.38,52.08,47.38,45.6,50.28,51.2,52.1,49.66,65.58,71.04,76.12,103.48,121.58,143.16,126.44,119.44,131.46,154.92,191.8,185.52,147.32,163.14,180.56,170.66,160.02,189.62,194.28,198.62,218.58,235.94,235.88,257.16,209.98,224.48,225.36,212.74,235.94,250.4,260.64,274.86,286.6,296.18,301.6,337.2,385.84,389.68,374.82,470,536.36,581.98,601.9,762.28,818.1,709.06,813.16,899.5,682.4
ABT.N,雅培制药(ABBOTT),2444.6615,2497.3342,2531.5442,2684.8847,2634.6387,2676.6924,2560.7954,2478.4194,2328.495,2379.6179,2084.4458,2179.5199,2400.8653,2458.1745,2363.0301,2394.8019,2392.5606,2443.5496,2694.4803,2746.9372,2739.0404,2696.906,2648.6558,2765.024,3026.2168,3118.7163,3186.0924,3251.4324,3235.9275,3075.1361,2928.8865,2999.3785,3098.183,3174.9875,3342.9794,3263.9244,3283.4208,3129.7113,3223.2228,3103.6814,3315.4967,3116.6257,3335.8481,3400.3862,3409.2676,3288.9518,3124.3551,3182.7989,3330.1951,2843.6406,2865.2653,2536.9118,2731.4993,2851.5253,2751.493,2766.1709,3025.4803,3117.6956,3359.3678,3328.5423,3287.645,3370.8608,3271.4987,3203.8694,2978.4212,2929.5741,3102.1539,3118.5875,3301.8851,3270.6291,2964.0872,3053.3094,2904.7677,3093.8735,3154.9791,3379.0855,3392.7213,3416.7463,3362.6225,3440.5944,3350.8284,3562.1496,3607.1146,3718.2045,3611.5603,3775.6311,4087.766,4174.5222,4156.3604,4336.633,4495.3133,4443.1132,4647.8462,4472.8182,4438.6745,4472.8182,4855.4063,4842.5082,5061.7754,5311.1163,5275.1526,5017.6527,5290.7194,4814.078,4793.8568,5301.5408,5539.4212,5559.728,5347.2254,5802.3084,5617.0663,5684.1758,5870.5182,6001.1045,6213.2566,6230.9582,6135.0746,6464.2621,6600.6953,6676.3267,6672.9056,7062.0093,6906.9641,6955.7872,7282.4485,7354.3739,7632.3101,6819.241,6055.8594,6784.6331,6802.8062,6801.2918,5768.2797,5903.9143,6374.8254,5964.5139,6076.4444,6027.379,6903.7554,6482.5878,6524.2417,6092.1896,5910.5418,5963.3283,6526.8735,7044.0857,6939.3932,6860.7845,7178.3552,7642.1342,7774.5336,8052.7601,8435.3215,8614.7883,8954.7413,9065.9408,9921.7427,9629.6451,9564.2024,9323.1513,9868.4587,9781.851,10558.8514,10768.2885,11818.6961,11152.2758
ACN.N,埃森哲(ACCENTURE),26.05,25.55,24.15,21.7,23.28,22.67,25.04,24.4,25.46,26.6285,28.7843,29.2195,31.9117,33.0554,30.4341,29.422,28.4908,28.6629,29.6143,30.0191,32.0939,33.6782,34.4866,37.792,38.6312,36.6152,39.4396,40.0127,41.8956,43.8911,43.1134,42.1719,41.1895,40.3826,35.7394,37.2595,35.8014,36.4529,36.3702,38.8314,42.213,42.1096,43.1851,42.7714,39.2967,34.7217,32.547,34.4486,33.1563,30.6665,28.8805,30.9186,31.4439,35.1524,36.8439,34.6692,39.1552,39.7111,43.9521,44.4447,43.8985,42.8061,44.9266,47.1468,40.535,41.7558,42.8253,39.5411,45.9044,48.7828,47.2662,52.9071,56.1586,56.1695,59.9774,62.8406,63.1266,66.4595,65.0515,58.9467,57.9458,67.0775,64.4839,59.2522,63.8272,66.2761,71.7972,73.0793,64.2468,67.611,67.8473,69.31,78.7951,76.73,77.3105,75.6942,81.8294,84.6409,86.4735,93.6956,94.4664,82.789,84.9174,83.1226,84.7218,85.6816,90.3096,95.8468,93.119,97.1641,92.9325,94.6395,96.0906,95.371,93.5306,95.6305,95.9373,97.0003,103.2302,106.7936,100.48,107.6545,112.031,111.9723,116.0693,116.9637,124.6138,113.9302,118.7523,130.9488,130.9732,127.6506,128.921,122.4713,140.9654,139.2753,146.7374,139.7317,139.1396,141.8408,150.6842,144.8615,148.837,145.9707,141.908,152.6629,149.3978,152.7357,156.7273,155.7325,162.2046,164.6474,170.0743,180.9897,188.1728,194.6313,204.3063,204.7004,195.1525,193.9247,199.7476,209.8158,204.352,216.8443,218.2936,204.0066
ADBE.O,奥多比(ADOBE),9424.8977,10228.2502,11128.1163,9852.4501,10974.0423,9479.6906,9820.9727,8959.4838,9890.5545,10685.7749,10805.058,12246.3951,13164.212,12773.2286,11580.3979,12988.6008,9486.3174,10059.5388,9446.5564,10748.7299,12412.066,12673.8261,13306.689,13624.7772,12879.258,13005.1679,13816.9555,13770.5676,14598.9554,13303.3756,13349.7635,14164.8644,14466.3855,15871.275,13962.7459,14158.2376,11573.7711,11149.6535,11792.4567,12355.7379,14598.9223,13051.5558,13700.9858,14191.3718,13078.0631,8826.9471,7673.8774,7054.2682,6398.2113,5533.409,7087.4023,9062.1998,9337.2136,9376.9746,10742.103,10410.7612,10947.535,10914.4008,11623.4724,12186.7535,10702.342,11480.9954,11719.5615,11133.0864,10629.4468,8757.3653,9516.1382,9178.1695,8664.5896,9327.2733,9211.3036,10198.7024,10950.8484,11431.2941,10987.296,11116.5193,11474.3685,10420.7014,9181.4829,8363.0685,8008.5327,9744.764,9085.3937,9367.0343,10255.0305,10897.8337,11368.3391,11116.5193,10288.1647,10725.5359,10231.8366,10361.0599,10747.0732,11273.9067,11467.7417,12484.9612,12534.6625,13025.0484,14418.3409,14936.891,14217.8791,15095.935,15665.843,15158.89,17209.8961,17965.3555,18813.5907,19840.4191,19612.1246,22739.9917,21782.4137,20440.4792,21384.8035,23975.8968,22945.3905,23823.4796,22925.5431,23233.6911,24413.2681,24088.5531,23237.0045,26209.141,24499.417,25201.8617,26205.8275,26842.0039,27166.7189,26033.5298,27242.9276,29376.7691,30304.5263,31126.2541,29532.4998,28213.7592,31079.8663,31219.0299,32958.5746,31739.2366,32425.1142,33899.5855,35963.8453,35622.5631,34065.2564,34111.6443,37567.5398,39210.9955,43117.516,44313.6601,47004.156,46864.9924,48538.2688,51411.0027,49429.5784,58037.8398,60128.607,58064.3472,66188.8495,69293.5227,71596.3487,73425.3557,82596.8983,80784.4584,81072.7258,87311.893,89445.7345,81430.575
ADI.O,亚德诺(ANALOG),1128.5013,1156.5004,1138.2333,1074.2982,1171.0165,1178.28,1237.9678,1154.276,1176.1265,1101.3915,1204.6625,1139.537,1263.4343,1215.5022,1220.2826,1208.4909,1080.095,1029.1803,1035.2645,986.8624,946.602,1024.8682,1052.409,1063.7357,1059.8522,1175.0606,1121.7897,1256.1182,1183.5858,1230.3278,1158.7439,1211.5929,1187.9393,1099.238,1011.1939,1047.6292,937.2481,889.6586,982.0544,1071.5438,1174.8102,1063.051,1020.8903,942.2645,888.0068,719.8415,576.2776,648.9204,681.6734,635.9556,664.7386,734.0757,849.2268,862.0992,952.2056,989.831,966.3554,898.0307,1050.7976,1113.8436,950.8937,1031.3105,1023.4072,1062.8236,1043.8458,996.9675,1063.1696,1005.2259,1131.4199,1213.9869,1282.1317,1366.6638,1408.7485,1446.8424,1436.7721,1470.703,1511.4213,1436.8966,1262.883,1221.5427,1156.0633,1352.8715,1299.3874,1333.6799,1458.5493,1461.5313,1517.8457,1464.4957,1377.6372,1426.8791,1480.2877,1516.7928,1495.2279,1493.1783,1549.6172,1617.2779,1678.0316,1752.0228,1801.2282,1704.3672,1792.935,1758.9735,1927.6101,1820.0032,1850.2842,1938.7675,1896.2955,2016.704,1911.3744,2027.1126,2119.653,2045.86,2104.021,2171.9056,1993.5579,2053.4088,2002.5719,2007.8322,2210.9624,2261.7282,2122.6107,2400.8649,2583.7801,2536.2057,2803.9795,2648.2257,2406.6528,2323.1032,2345.9766,2500.2679,2563.0657,2315.69,2254.5745,2236.4093,2498.0764,2376.9498,2486.8958,2407.8253,2713.4797,2677.1143,2757.9926,2743.0151,3194.9379,3125.2208,3225.0626,3545.1415,3546.0069,3297.2022,3710.867,3385.4542,3438.1071,3640.8863,3770.236,3994.6912,3787.5077,3915.9425,4041.2984,3965.2052,4029.1638,3862.0373,4296.6547,4260.9781,4270.751,4412.2782,4127.0535,3736.4877
ADM.N,阿彻丹尼尔斯米德兰,445.2572,444.9547,453.8169,332.1467,368.0897,396.4613,425.3893,419.14,459.1734,453.7735,440.4418,460.8101,588.6261,594.6616,630.8437,681.2737,781.0916,775.6426,826.7508,775.4662,713.4967,725.1749,662.9766,603.6676,604.4231,650.9523,695.4862,733.3873,666.1717,629.0988,638.7948,642.8431,631.0164,682.5201,695.5914,888.4816,841.5986,865.5906,789.9714,845.6302,764.2456,649.705,551.1424,492.6326,423.9427,401.1105,532.4841,560.6836,532.4841,521.0357,542.9247,481.1665,540.8807,526.1402,591.9814,569.5755,577.2805,595.0612,611.3737,621.2953,594.7052,585.5512,576.377,557.2309,506.7787,517.8087,548.6928,620.9817,643.354,671.5713,587.2169,609.2957,661.7584,756.4145,732.6112,753.1593,662.6828,616.4729,621.1756,585.6388,510.172,595.0979,623.0236,591.5828,592.2033,649.0353,658.6044,641.3384,666.7111,617.3561,545.624,563.2279,572.2816,565.1229,566.097,580.7265,604.8969,679.6123,719.5017,723.9812,691.3695,727.4074,782.3223,759.2375,794.3853,881.9316,871.9425,940.1815,855.2619,884.7315,945.5295,952.9386,984.5962,966.4116,1016.5835,1097.6802,1124.9791,1034.7166,1165.1419,1150.1021,1031.3319,1065.3361,1054.6561,1087.5862,1182.1492,1078.5853,1060.6909,1012.3421,932.6868,1027.4181,827.2134,831.5206,801.3701,799.76,830.6432,913.6846,986.288,989.0552,1039.5572,1016.0341,979.117,1011.6227,1010.9966,1067.5918,1035.0846,1106.4236,1084.5166,1077.6853,986.9516,982.2044,1001.1933,988.3192,1016.7824,977.5558,961.6098,966.4323,1035.6354,1008.9787,1053.9356,1102.7806,1070.5162,1122.1811,1181.6814,1242.4151,1239.2104,1164.7641
ADP.O,自动数据处理,95.8333,94.6872,99.4296,96.0895,96.8858,93.1682,98.5847,94.8997,95.8907,103.9558,104.7133,102.6667,98.2827,103.3153,102.589,98.9957,102.1174,102.2618,98.6765,106.4335,107.1664,111.9203,109.1811,112.0264,108.5462,113.1637,110.6143,102.2954,113.5853,111.307,106.5994,105.0378,106.0219,114.4011,104.0136,103.4493,93.5759,92.8093,99.1967,103.4323,100.7412,98.7138,100.6221,104.5565,101.3715,82.8757,97.3641,94.0791,86.8809,81.6676,84.8923,84.9889,91.7735,86.3121,90.7202,93.3992,96.535,97.7632,106.7289,106.0193,100.9931,103.0234,110.9685,108.2236,102.0102,101.3015,103.8428,97.1498,106.6691,112.9124,113.1155,118.3715,122.515,127.8862,132.1721,140.0287,141.9607,136.6293,133.543,129.7564,123.2108,136.747,133.5067,142.2145,144.242,143.0308,146.3948,147.5354,138.331,148.7758,151.1547,155.2443,157.8543,155.5131,152.701,154.3559,160.7546,166.3671,177.5502,183.8572,187.625,189.2157,198.0967,195.5357,200.0683,207.3795,221.1863,224.7135,213.0355,216.3172,216.2032,218.1621,222.9753,223.2053,228.9206,235.03,235.2544,263.9714,276.4308,270.6592,267.9322,288.4175,279.6379,276.0461,279.2134,263.5255,262.0146,253.9673,265.6169,287.5313,285.1184,281.7581,276.3372,281.6584,300.2149,295.9648,293.9569,309.3306,299.4988,302.3945,298.7355,294.8743,325.222,350.1977,344.0987,349.6525,350.7864,357.981,350.7179,353.0146,409.6912,366.8306,378.6474,402.6852,396.4506,408.1245,430.5524,401.6121,397.3776,413.4856,455.2964,472.1171,475.1088,516.4991,532.7592,509.4912
ADS.N,联合数据系统,43.42,39.45,40.4,40.4,37.72,40.56,42.57,42.07,39.15,35.56,38.57,35.6,42.25,43.26,46.77,55,53.07,58.82,51.32,50.54,55.19,60.72,64.71,62.47,67.93,59.7,61.62,63.66,77.92,77.28,76.8,78.45,77.44,80.4,77.7,74.99,50.57,50.63,47.51,57.41,60.04,56.55,64.15,64.24,63.38,50.16,43.31,46.53,41.59,29.6,36.95,41.87,40.5,41.19,51,55.56,61.08,54.98,60.99,64.59,59.46,55.44,63.99,75.06,70.66,59.52,57.48,56.19,65.26,60.72,63.08,71.03,70.74,78.74,85.89,95,93.93,94.07,98.34,93.41,92.7,102.44,102.41,103.84,110.8,121.36,125.96,128.49,126,135,130,137.65,141.95,143.05,142.49,144.76,157.6,158.69,161.89,171.77,177.09,181.03,197.78,195.7,211.47,237.06,242.26,262.93,239.66,285.11,272.45,241.9,256.05,281.25,262.29,264.64,248.27,283.35,285.87,286.05,288.83,278.51,296.25,297.31,298.03,291.94,275.04,257.19,258.98,297.31,286.85,276.57,199.79,210.13,220,203.31,222.19,195.92,231.62,204.58,214.53,204.47,229.3634,229.0827,228.9624,244.159,250.2082,250.8412,242.7882,258.4552,243.0903,227.5599,223.5739,225.7738,242.014,256.3869,259.6034,244.284,215.7964,205.8511,214.3194,237.0709,228.6128,243.1476,240.6813,210.1273
ADSK.O,欧特克(AUTODESK),829.1183,838.9988,840.5613,899.0278,1117.9239,969.9219,965.6852,1220.1696,1311.6823,1274.3994,1179.7797,1212.5436,1146.451,1063.4117,1087.9846,1187.4058,1027.8234,973.3112,963.4256,981.7846,982.3495,1037.9915,1163.1154,1142.7792,1234.8568,1162.268,1061.9995,1165.6574,1283.7201,1329.7589,1196.7265,1308.293,1411.386,1381.1642,1330.0414,1405.4546,1162.268,878.1267,889.1421,1073.2973,1162.5505,954.9522,900.7224,1003.533,947.6086,601.8939,468.579,555.0077,467.7317,358.4248,474.7929,563.1987,606.1306,536.0838,616.0162,661.7725,672.2231,704.1395,662.3374,717.697,671.9406,787.4613,829.8283,960.0362,826.439,688.0401,834.3475,783.2246,902.982,1022.3863,996.7543,1078.9463,1148.9931,1187.6882,1245.8723,1270.4451,1213.9558,1090.2441,971.6165,796.4996,784.9193,977.2655,962.2958,856.6608,1016.808,1069.0606,1195.3143,1111.9925,904.3942,988.2809,958.0591,876.9969,941.9596,899.6491,935.7458,998.449,1098.1527,1037.1442,1165.0925,1112.275,1065.6713,958.624,999.5788,1037.9915,1162.8329,1126.9622,1278.0712,1421.2434,1447.5392,1482.2801,1389.0727,1356.3089,1479.1732,1592.4343,1506.853,1515.0439,1556.2812,1625.1981,1751.1694,1696.3747,1525.3532,1814.4374,1656.2673,1605.1444,1529.4487,1414.3517,1428.6153,1320.4382,1246.7196,1558.8232,1792.689,1720.9476,1322.4153,1461.3791,1646.9465,1689.596,1645.8167,1529.1663,1679.1455,1903.6906,2042.9368,2041.5245,2050.8453,2090.3878,2297.4212,2437.5148,2442.3164,2543.9972,3156.9064,2847.6273,3129.2267,3232.8846,3170.7463,3529.4536,3098.44,2960.8884,3265.6484,3317.901,3546.9653,3556.0036,3646.3865,3702.5934,3627.745,4359.5644,4409.275,3650.6232
AEE.N,阿曼瑞恩(AMEREN),77.5248,79.6129,76.7481,80.9606,85.4706,87.613,88.1199,87.0268,85.7198,84.2935,84.0691,83.1117,82.3331,82.1871,81.8352,82.7387,81.2932,84.0075,85.671,89.0812,88.872,91.0774,92.1043,91.5151,90.4591,88.9091,86.7398,90.6543,91.5165,85.5447,83.7468,88.6341,92.7967,95.5541,95.1829,96.9626,80.0241,76.3753,79.9612,82.3578,82.5212,77.8068,75.7064,77.125,73.0724,60.7532,66.6133,63.4656,63.4465,45.3762,45.078,44.7475,45.214,49.1687,50.2354,53.2776,50.6645,48.7806,52.0874,56.8255,51.946,50.2382,53.8224,53.5747,50.8919,49.8519,53.2075,58.8701,60.3735,61.6065,61.0538,60.7269,61.1147,60.2315,61.3148,64.0234,64.8972,63.8423,63.798,66.9857,66.771,71.5035,75.8322,75.2339,71.8503,72.8268,74.9238,75.4067,74.3029,78.0707,79.6302,76.162,76.9753,77.47,70.6137,73.3676,77.4754,80.6995,84.6361,87.6087,82.2676,84.1991,87.5485,82.6589,86.2173,89.5334,88.7167,90.4771,94.6806,101.1111,104.132,104.41,99.4561,104.3837,98.1789,102.1112,98.8542,109.1961,111.1819,120.1082,117.895,110.4224,110.9869,107.6731,105.8057,100.1695,109.2082,107.108,113.5794,117.368,117.583,117.3092,121.8952,127.4039,137.183,131.4328,135.677,147.9696,144.8213,136.4811,136.9907,139.1356,136.8236,147.4335,147.9675,153.7007,154.6772,154.9605,160.7974,156.1242,160.2079,171.3168,166.3788,178.3164,183.9832,170.9165,164.0786,157.3277,165.4715,171.2862,172.9518,179.2751,182.8399,186.287,187.561,191.5959
